,Year,Data Type,Institution,Degree Name,Discipline Name,Non Res Alien M,Non Res Alien F,Unknown M,Unknown F,Hispanic M,Hispanic F,American Indian M,American Indian F,Asian American M,Asian American F,African American M,African American F,Hawaiian/pac.isl M,Hawaiian/pac.isl F,White M,White F,Multiracial M,Multiracial F,Total
0,2019,DegreesAwarded,Air Force Institute of Technology,Aeronautical Engineering (M.S),Aerospace Engineering,0,0,2,0,2,0,0,0,0,0,0,0,0,0,24,2,0,1,31
1,2019,DegreesAwarded,Air Force Institute of Technology,Applied Physics (M.S),Engr. Science and Engr. Physics,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,1,1,10
2,2019,DegreesAwarded,Air Force Institute of Technology,Applied Systems Engineering (M.E),Industrial/Manufacturing/Systems Engineering,0,0,1,0,2,0,0,0,1,0,0,0,0,0,6,0,1,1,12
3,2019,DegreesAwarded,Air Force Institute of Technology,Astronautical Engineering (M.S),Aerospace Engineering,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,2,1,0,14
4,2019,DegreesAwarded,Air Force Institute of Technology,Atmospheric Sciences (M.S),Engr. Science and Engr. Physics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5
5,2019,DegreesAwarded,Air Force Institute of Technology,Computer Engineering (M.S),Computer Engineering,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,6
6,2019,DegreesAwarded,Air Force Institute of Technology,Computer Science (M.S),Computer Science (inside engineering),0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,8
7,2019,DegreesAwarded,Air Force Institute of Technology,Cyber Operations (M.S),Computer Science (inside engineering),0,0,1,0,3,0,0,0,1,0,2,0,0,0,4,0,1,0,12
8,2019,DegreesAwarded,Air Force Institute of Technology,Electrical Engineering (M.S),Electrical Engineering,1,1,1,1,4,1,0,0,1,0,3,0,0,0,19,0,2,0,34
9,2019,DegreesAwarded,Air Force Institute of Technology,Engineering Management (M.S),Engineering Management,2,0,3,0,1,0,0,0,0,1,1,0,1,0,10,3,0,0,22
